customer_id,name,age,salary,loan,credit,exp,risk
101,Amar Singh,22,100000,500000,740,2,Safe
102,Abhishek Singh,23,65000,500000,760,2,Safe
104,Hiviraj Singh Sodha,20,45000,250000,700,1,Safe
105,Khushi,22,80000,60000,700,1,Safe
106,Priya,25,80000,500000,750,4,Safe
107,Subhash Bishnoi,28,100000,800000,800,8,Safe
108,Chetan,26,50000,900000,740,4,Safe
109,Shaiyra Kanwar ,23,150000,700000,850,2,Safe
110,Sanjna ,29,30000,100000,450,2,Risk
111,Rakhi,22,20000,10000,400,1,Risk
112,Yuvraj,25,50000,200000,550,2,Safe
